index,mbti,movie
1041,"Claudette(ESFJ),Susan(ESFJ),Chris-R(ESTP),Lisa(ESTJ),Steven(ENFP),Flower Shop Lady(ENFP),Johnny(ENFJ),Mike(ENTP),Doggy(ISTJ),Peter(INFJ),",   The Room (2003)
1042,"Harriet Smith(ESFJ),Miss Bates(ESFJ),Frank Churchill(ESTP),Mr. Elton(ESTP),Mrs. Elton(ESTJ),Emma Woodhouse(ENFJ),George Knightley(ISTJ),Jane Fairfax(INFJ),Mr. Woodhouse(INTP),Robert Martin(INTP),",   Emma. (2020)
1043,"Vern Tessio(ESFJ),Teddy Duchamp(ESTP),Teddy Duchamp(ESTP),Gordie Lachance(INFP),Chris Chambers(INFJ),",   Stand by Me (1986)
1044,"Frank Abagnale Sr.(ESFJ),Paula Abagnale(ESFJ),Frank Abagnale Jr.(ENTP),Brenda Strong(ISFJ),Carl Hanratty(ISTJ),",   Catch Me If You Can (2002)
1045,"Betty Elms(ESFJ),Coco(ESTJ),The Magician(ENTP),Rita(ISFP),Dan(ISFJ),Diane Selwyn(INFP),The Cowboy(INTJ),",   Mulholland Drive (2001)
1046,"Madame Adelaide Bonfamille(ESFJ),Thomas O'Malley(ESTP),Napoleon(ESTJ),Toulouse(ENFP),Roquefort(ENFJ),Berlioz(ENTP),Duchess(ISFJ),Lafayette(ISTP),Edgar Balthazar(ISTJ),",   The Aristocats (1970)
1047,"Danielle de Barbarac(ESFJ),Marguerite de Ghent(ESTP),Baroness Rodmilla de Ghent(ESTJ),Crown Prince Henry(ENTP),Leonardo da Vinci(ENTP),Gustave(ISFP),Jacqueline de Ghent(ISFJ),",   Ever After: A Cinderella Story
1048,"Ned Ryerson(ESFJ),Phil Connors(ESTP),Rita(ISFJ),The groundhog(ISFJ),Larry(INTP),",   Groundhog Day (1993)
1049,"Chris Noel(ESFJ),Chris Noel(ESFJ),Chet Danburry(ESTP),Thomas Perry(ESTJ),John Keating(ENFP),Neil Perry(ENFJ),Charlie Dalton(ENTP),Knox Overstreet(ISFP),Richard Cameron(ISTJ),Mr. Nolan(ISTJ),Todd Anderson(INFP),Steven Meeks(INTP),Gerard Pitts(INTP),",   Dead Poets Society (1989)
1050,"Fräulein Rahm(ESFJ),Johannes ""Jojo"" Betzler(ENFP),Adolf Hitler(ENFP),Rosie Betzler(ENFJ),Captain Klenzendorf(ENTP),Freddy Finkel(ISFJ),Captain Deertz(ISTJ),Elsa Korr(INFP),Yorki(INTP),",   Jojo Rabbit (2019)
1051,"Dolores Vallelonga(ESFJ),Frank ""Tony Lip"" Vallelonga(ESTP),Donald ""Doc"" Shirley(INFJ),",   Green Book (2018)
1052,"Wendy Darling(ESFJ),Captain Hook(ESTP),Peter Pan(ENFP),Tinker Bell(XXXX),",   Peter Pan (2003)
1053,"McKenzie(ESFJ),Summer Finn(ENTP),Tom Hansen(INFP),",   500 Days of Summer (2009)
1054,"Sally Jupiter / Silk Spectre(ESFJ),Edward Blake / The Comedian(ESTP),Laurie Juspeczyk / Silk Spectre II(ISFP),Daniel Dreiberg / Nite Owl II(ISFJ),Walter Kovacs / Rorschach(ISTJ),Jon Osterman / Dr. Manhattan(INTP),Adrian Veidt / Ozymandias(INTJ),",   Watchmen (2009)
1055,"Catherine Martin(ESFJ),Dr. Frederick Chilton(ESTP),Dr. Frederick Chilton(ESTP),Jack Crawford(ISTJ),Jame Gumb ""Buffalo Bill""(INFP),Hannibal Lecter(INTJ),Clarice Starling(INTJ),",   The Silence of the Lambs (1991)
1056,"Constanze Mozart(ESFJ),Katerina Cavalieri(XXXX),Wolfgang Amadeus Mozart(ENFP),Emperor Joseph II(ISFJ),Antonio Salieri(INTJ),",   Amadeus (1984)
1057,"Aurora Lane(ESFJ),Jim Preston(ISTP),Gus(ISTJ),Arthur(INTP),",   Passengers (2016)
1058,"Richard Hoover(ESFJ),Grandpa Edwin Hoover(ESTP),Olive Hoover(ENFP),Sheryl Hoover(ISFJ),Sheryl Hoover(ISFJ),Dwayne Hoover(INFP),Frank Ginsberg(INTP),",   Little Miss Sunshine (2006)
1059,"Mother(ESFJ),Mother(ESFJ),Father(ISTP),Father(ISTP),The Young Woman(INFJ),",   I'm Thinking of Ending Things (2020)
1060,"Delia Deetz(ESFJ),Delia Deetz(ESFJ),Betelgeuse(ESTP),Adam Maitland(ISFJ),Charles Deetz(ISFJ),Lydia Deetz(INFP),",   Beetlejuice (1988)
1061,"Olympia(ESFJ),Tom(ENFJ),Malorie(ISTP),",   Bird Box (2018)
1062,"Claire Benoit(ESFJ),Claire Benoit(ESFJ),Marcia(ESFJ),Patricia(ESTJ),Hedwig(ENFP),Barry(ENFJ),The Beast(ISFP),Dennis (Kevin ""Wendell"" Crumb)(ISTJ),Casey Cooke(INFP),",   Split (2016)
1063,"Mrs. Peacock(ESFJ),Ms. Scarlet(ESTP),Mr. Green(ESTJ),Mr. Green(ESTJ),Professor Plum(ENTP),Mrs. White(ISFJ),Mr. Boddy(ISTP),Colonel Mustard(ISTJ),Colonel Mustard(ISTJ),Colonel Mustard(ISTJ),Wadsworth(INTJ),",   Clue (1985)
1064,"Rachel Keller(ESFJ),Rachel Keller(ESFJ),Noah Clay(ESTP),Richard Morgan(ISTJ),Richard Morgan(ISTJ),Aidan Keller(INTJ),",   The Ring (2002)
1065,"Harry Bright(ESFJ),Tanya(ESTP),Sky(ESTP),Sky(ESTP),Sophie Sheridan(ENFP),Rosie(ENFP),Rosie(ENFP),Bill Anderson(ISTP),",   Mamma Mia! (2008)
1066,"Tipper Caldwell(ESFJ),Connor(ESTP),Sloane Caldwell(ESTJ),Jane Caldwell(ENFP),Jane Caldwell(ENFP),John(ISFP),Harper Caldwell(ISFJ),Abby Holland(ISTP),",   Happiest Season (2020)
1067,"Blair Willows(ESFJ),Hadley(ESTP),Delancy Devin(ESTJ),Dame Devin(ENTJ),Isla(INFP),Isla(INFP),",   Barbie: Princess Charm School
1068,"Valerie Owens(ESFJ),Lisa Rowe(ESTP),Susanna Kaysen(INFP),Georgina(INFP),Georgina(INFP),","   Girl, Interrupted (1999)"
1069,"Julius Levinson(ESFJ),Jasmine Dubrow(ESFJ),Jasmine Dubrow(ESFJ),Marilyn Whitmore(ESFJ),Dr. Brakish Okun(ENTP),Thomas Whitmore(ENTJ),Dylan Hiller(ISFJ),Russell Casse(ISTP),Jake Morrison(ISTP),Jake Morrison(ISTP),David Levinson(INTP),",   Independence Day (1996)
1070,"Alma(ESFJ),Elisabeth Vogler(INTP),",   Persona (1966)
1071,"Madolyn(ESFJ),Madolyn(ESFJ),Madolyn(ESFJ),Patrick ""Fitzy"" Fitzgibbons(ESTP),Colin Sullivan(ESTJ),Colin Sullivan(ESTJ),Capt. George Ellerby(ESTJ),Capt. George Ellerby(ESTJ),Frank Costello(ENTJ),Billy Costigan(ISFP),Capt. Oliver Queenan(ISFJ),Capt. Oliver Queenan(ISFJ),",   The Departed (2006)
1072,"Lisa Fremont(ESFJ),Lisa Fremont(ESFJ),Detective Lt . Thomas Doyle(ESTJ),Lars Thorwald(ISTJ),",   Rear Window (1954)
1073,"Carter Farrell(ESFJ),Carter Farrell(ESFJ),Brianna(ESFJ),Gabriella(ESFJ),Shelby Cummings(ESTJ),Rhonda(ENFJ),Samantha ""Sam"" Montgomery(INFP),",   A Cinderella Story (2004)
1074,"Chris MacNeil(ESFJ),Pazuzu(ESTP),James Venamun (The Gemini Killer)(ENTP),Father Damien Karras(INFJ),Father Lankester Merrin(INFJ),",   The Exorcist (1973)
1075,"PVT Adrian Caparzo(ESFJ),PVT Richard Reiben(ESTP),Sgt. Hill(ESTP),Sgt. Mike Horvath(ESTJ),Lieutenant-Colonel Anderson(ESTJ),CPL Fred Henderson(ENFJ),GA George C. Marshall(ENTJ),PVT James Francis Ryan(ISFP),PVT Daniel Jackson(ISTP),CPT John Miller(ISTJ),CPT Fred Hamill(ISTJ),CPL Timothy Upham(INFP),Medic Irwin Wade(INFJ),Medic Irwin Wade(INFJ),",   Saving Private Ryan (1998)
1076,"Frank(ESFJ),Frank(ESFJ),Corporal Mitchell(ESTP),Private Bedford(ESTP),Private Davis(ESTP),Major Henry West(ENTJ),Jim(ISFP),Hannah(ISFP),Selena(ISTP),Selena(ISTP),Private Bell(ISTP),Private Clifton(ISTP),Sergeant Farrell(INFP),Private Jones(XXXX),",   28 Days Later (2002)
1077,"John Caincross(ESFJ),John Caincross(ESFJ),Commander Denniston(ESTJ),Joan Clarke(ENFJ),Hugh Alexander(ENTJ),Hugh Alexander(ENTJ),Stewart Menzies(ENTJ),Detective Robert Nock(ISTP),Peter Hilton(INFP),Peter Hilton(INFP),Alan Turing(INTP),",   The Imitation Game (2014)
1078,"Queen Uberta(ESFJ),Derek(ESTP),Puffin(ESTJ),Rothbart(ENTJ),Rothbart(ENTJ),Brom(INFP),Odette(INFJ),Speed(INTP),",   The Swan Princess (1994)
1079,"Judy Garland(ESFJ),Mickey Deans(ESTP),Rosalyn Wilder(ISTJ),",   Judy (2019)
1080,"Rio Morales(ESFJ),Jefferson Davis(ESTJ),Jefferson Davis(ESTJ),Peter Porker ""Spider-Ham""(ENFP),Peter Parker ""Spider-Man""(ENFJ),Peni Parker(ENTP),Olivia Octavius(ENTP),Wilson Fisk ""Kingpin""(ENTJ),Miles Morales ""Spider-Man""(ISFP),Mary Jane Watson(ISFJ),Peter Parker ""Spider-Man Noir""(ISTP),Gwen Stacy ""Spider-Gwen""(ISTP),Aaron Davis ""The Prowler""(ISTP),May Parker(INFJ),Peter B. Parker ""Spider-Man""(INTP),",   Spider-Man: Into the Spider-Verse (2018)
1081,"Stefan(ESFJ),Stefan(ESFJ),Penelope(ENFP),Rapunzel(ISFJ),Rapunzel(ISFJ),Hobie(ISTP),Gothel(INTJ),",   Barbie As Rapunzel (2002)
1082,"Mary Watson(ESFJ),Sherlock Holmes(ENTP),Mycroft Holmes(ENTP),Mycroft Holmes(ENTP),Irene Adler(ENTP),Dr. John Watson(ISFJ),Sebastian Moran(ISTP),Inspector Lestrade(ISTJ),Professor James Moriarty(INTJ),",   Sherlock Holmes
1083,"Helen Harris(ESFJ),Brynn(ESTP),Rita(XXXX),Nathan Rhodes(ENFJ),Lillian Donovan(ISFJ),Lillian Donovan(ISFJ),Lillian Donovan(ISFJ),Becca(ISFJ),Annie Walker(INFP),",   Bridesmaids (2011)
1084,"Torrance Shipman(ESFJ),Torrance Shipman(ESFJ),Isis(ENTJ),Missy Pantone(ISTP),",   Bring It On (franchise)
1085,"Jin(ESFJ),Jin(ESFJ),Nai Nai(ESTJ),Burnish(ESTJ),Everest(ENFP),Yi(ISFP),Yi(ISFP),Dr Zara(ISTJ),",   Abominable (2019)
1086,"Wikus van de Merwe(ESFJ),Wikus van de Merwe(ESFJ),Colonel Koobus Venter(ESTP),Sarah Livingstone(ISFJ),Obesandjo(ISTP),Christopher Johnson(INTJ),",   District 9 (2009)
1087,"Ducky(ESFJ),Cera(ESTJ),Petrie(ISFJ),Spike(ISTP),Sharptooth(ISTJ),Littlefoot(INFP),Pterano(INFP),Doc(INFJ),",   The Land Before Time (1988)
1088,"Drayton Sawyer(ESFJ),Drayton Sawyer(ESFJ),Nubbins Sawyer / Hitchhiker(ESTP),Kirk(ESTP),Burt Hartman(ESTP),Nikki(ESTP),Isaac ""Ike""(ESTP),Verna Carson-Sawyer(ESTJ),Sheriff Hoyt / Charlie Hewitt(ESTJ),Eric Hill(ESTJ),Luda-May Hewitt(ESTJ),Sally Hardesty(ENFP),Sally Hardesty(ENFP),Sally Hardesty(ENFP),Chop-Top Sawyer(ENFP),Pam(ENFP),Clarice(ENFP),Erin(ENFJ),Jerry(ENTP),Alex(ENTP),Texas Ranger Hal Hartman(ENTJ),Jedidiah Sawyer / Leatherface(ISFP),Heather Miller / Eidith Rose Sawyer(ISFP),Bud Horton(ISFP),Leatherface (Original)(ISFJ),Thomas Hewitt / Leatherface(ISTP),Chrissie(ISTP),Grandpa Sawyer(ISTP),Monty Hewitt(ISTJ),Sheriff Hooper(ISTJ),Nurse Elizabeth ""Lizzy"" White(INFP),Teenage girl / Hitchhiker(INFP),Franklin Hardesty(INTP),",   The Texas Chainsaw Massacre (Franchise)
1089,"Taylor Sloane(ESFJ),Taylor Sloane(ESFJ),Taylor Sloane(ESFJ),Nicky Sloane(ESTP),Ezra O'Keefe(ISFP),Ingrid Thorburn(INFP),",   Ingrid Goes West ( 2017)
1090,"Lt. Nick ""Goose"" Bradshaw(ESFJ),Lt. Nick ""Goose"" Bradshaw(ESFJ),Lt. Nick ""Goose"" Bradshaw(ESFJ),Lt. Pete ""Maverick"" Mitchell(ESTP),Lt. Tom ""Iceman"" Kazansky(ESTP),Lt. Tom ""Iceman"" Kazansky(ESTP),Charlotte ""Charlie"" Blackwood(ESTJ),Charlotte ""Charlie"" Blackwood(ESTJ),Charlotte ""Charlie"" Blackwood(ESTJ),",   Top Gun (1986)
1091,"Grace Connolly(ESFJ),Bruce Nolan(ENFP),Bruce Nolan(ENFP),Evan Baxter(ENTJ),God(INFJ),",   Bruce Almighty (2003)
1092,"Anna Brady(ESFJ),Jeremy(ESTJ),Declan O'Callaghan(ISTP),",   Leap Year (2010)
1093,"Mrs. Griffith(ESFJ),Nina(ESTJ),Olive Penderghast(ENTP),Woodchuck Todd(ISFP),Brandon(INFP),Mr. Griffith(INTP),",   Easy A (2010)
1094,"Barry Glickman(ESFJ),Barry Glickman(ESFJ),Trent Oliver(ENFP),Angie Dickinson(ENFJ),Tom Hawkins(ENFJ),Emma Nolan(ISFP),Emma Nolan(ISFP),Alyssa Greene(ISFJ),Mrs. Greene(ISTJ),",   The Prom (2020)
1095,"Judge(ESFJ),Judge(ESFJ),Judge(ESFJ),Hammers(ESTJ),Hammers(ESTJ),Hammers(ESTJ),Hammers(ESTJ),German Eagle(ENTJ),Pink's Father(ISFJ),Pink's Teacher(ISTJ),Pink(INTJ),Pink's Wife(INTJ),",   Pink Floyd: The Wall
1096,"Aunt Lucy(ESFJ),Knuckles McGinty(ESTP),Henry Brown(ESTJ),Henry Brown(ESTJ),Mary Brown(ENFP),Mary Brown(ENFP),Pheonix Buchanan(ENTP),Jonathan Brown(ENTP),Samuel Gruber(ISFJ),Mr. Curry(ISTP),Paddington Bear(INFP),Uncle Pastuzo(INTP),Millicent Clyde(INTJ),",   Paddington (2014)
1097,"Lindsay(ESFJ),Mamaw(ESTP),",   Hillbilly Elegy (2020)
1098,"Earl Stone(ESFJ),Mary Stone(ISFJ),",   The Mule (2018)
1099,"Mrs. Wurtzel(ESFJ),Mrs. Wurtzel(ESFJ),Mrs. Wurtzel(ESFJ),Rafe(ISFP),Rafe(ISFP),Elizabeth Wurtzel(INTP),",   Prozac Nation (2001)
1100,"Minnie Castevet(ESFJ),Minnie Castevet(ESFJ),Roman Castevet(ENTP),Rosemary Woodhouse(ISFJ),Dr. Abraham Sapirstein(ISTJ),Hutch(INFJ),",   Rosemary’s Baby (1968)
1101,"Christina Warren(ESFJ),Dr. Rutledge(ENTJ),Capt. Colter Stevens(ISTP),Capt. Colter Stevens(ISTP),Capt. Colleen Goodwin(ISTJ),",   Source Code (2011)
1102,"Sasha(ESFJ),Marcus(ISFP),Marcus(ISFP),",   Always Be My Maybe
1103,"Ron(ESFJ),Ron(ESFJ),DropKick(ESTP),Otis Watson(ESTP),Cliffjumper(ESTP),Tripp summers(XXXX),Agent Burns(ESTJ),Blitzwing(ESTJ),Tina lark(XXXX),Bumblebee(ENFP),Memo(ENFP),Memo(ENFP),Sally Watson(ENFP),Charlie Watson(ISFP),Shatter(INTJ),",   Bumblebee (2018)
1104,"Winter(ESFJ),Winter(ESFJ),Koba(ENTJ),Red(ISTJ),Nova(INFP),Caesar(INFJ),Maurice(INFJ),Bad Ape(XXXX),",   War for the Planet of the Apes (2017)
1105,"Sam(ESFJ),Signor Ferrari(ESTP),Captain Louis Renault(ENTP),Rick Blaine(ISTP),Ilsa Lund(ISTJ),Victor Laszlo(INFJ),",   Casablanca (1942)
1106,"Trini ""Gordo"" Garcia(ESFJ),Trini ""Gordo"" Garcia(ESFJ),Trini ""Gordo"" Garcia(ESFJ),Grady ""Coon-Ass"" Travis(ESTP),Don ""Wardaddy"" Collier(ESTJ),Boyd ""Bible"" Swan(INFJ),Captain Waggoner(INTP),",   Fury (2014)
1107,"Thomas Hutter(ESFJ),Thomas Hutter(ESFJ),Thomas Hutter(ESFJ),Count Orlok(INFJ),Ellen Hutter(INFJ),Herr Knock(INTP),",   Nosferatu: A Symphony of Horror (1922)
1108,"Sheila Eileen(ESFJ),Dick James(ESTP),Ray Williams(ENFP),Ivy(ISFJ),Stanley(ISTJ),Bernie Taupin(INFJ),Bernie Taupin(INFJ),Bernie Taupin(INFJ),",   Rocketman (2019)
1109,"Loretta(ESFJ),Loretta(ESFJ),Cosmo(ESTP),Rose(ENTP),Johnny(ISFJ),Ronny(INFP),",   Moonstruck (1987)
1110,"Thistlewit(ESFJ),King John(ESFJ),Knotgrass(ESTJ),Knotgrass(ESTJ),Prince Phillip(ENFJ),Prince Phillip(ENFJ),King Stephen(ENTJ),Queen Ingrith(ENTJ),Queen Ingrith(ENTJ),Diaval(ISFP),Flittle(ISFJ),Aurora(INFP),Maleficent(INTJ),",   Maleficent (2014)
1111,"Violet Jones(ESFJ),Zoe Wright(ESTP),Violet's mom(ESTJ),Clint(ISTP),",   Nappily Ever After (2018)
1112,"Karen Strode(ESFJ),Karen Strode(ESFJ),Allyson Nelson(ESFJ),Michael Myers(ISTP),Laurie Strode(ISTJ),",   Halloween 2018 Timeline
1113,"Veronica ""Ronnie"" Quaife(ESFJ),Seth Brundle(INTP),",   The Fly (1986)
1114,"Kate Thomas(ESFJ),Rasputia Latimore(ESTP),Rasputia Latimore(ESTP),",   Norbit (2007)
1115,"Kathy O'Hara(XXXX),Dolores Fuller(ESFJ),Bunny Breckinridge(ESFJ),Ed Wood(ENFP),Loretta King(ENFJ),Tor Johnson(ISTP),Vampira(INTJ),",   Ed Wood (1994)
1116,"Sister Abigail(ESFJ),Maxine “Max"" Coleman(ISFP),Daniel Coleman(ISTP),Kate Coleman(INFP),Esther Coleman(INFJ),",   Orphan (2009)
1117,"Charlotte Haze(ESFJ),Clare Quilty(ENTP),Dolores Haze ""Lolita""(ISFP),Humbert Humbert(INTP),",   Lolita (1962)
1118,"Gina(ESFJ),Amandine Poulain(ESTJ),Madeleine Wallace(ENFP),Madame Suzanne(ENFJ),Nino Quincampoix(ISFP),Lucien(ISFP),Georgette(ISFP),Georgette(ISFP),Georgette(ISFP),Amélie Poulain(INFP),Raymond Dufayel(INFJ),",   Amélie (2001)
1119,"Smee(ESFJ),Tinker Bell(ESFJ),Captain James Hook(ESTJ),Peter Banning ""Peter Pan""(ISTJ),",   Hook (1991)
1120,"Beth Emhoff(ESFJ),Alan Krumwiede(ENTP),Dr. Ellis Cheever(ENTJ),Dr. Erin Mears(ISTJ),Mitch Emhoff(ISTJ),Dr. Leonora Orantes(INFJ),",   Contagion (2011)
1121,"Colonel Nicholson(ESFJ),Major Warden(XXXX),Shears(ENTP),Colonel Saito(ISFP),",   The Bridge on the River Kwai (1957)
1122,"C.C. Baxter(ESFJ),Jeff D. Sheldrake(ESTP),Dr. Dreyfuss(ESTJ),Fran Kubelik(ENFP),",   The Apartment (1960)
1123,"Police Officer Landers(ESFJ),Jenny Bennett(ESTJ),""DJ"" Walters(ENTP),""DJ"" Walters(ENTP),Constance(ENTJ),Bones(ISTP),Bones(ISTP),Horace Nebbercracker(INFP),Skull(INTP),",   Monster House (2006)
1124,"Pete Franco(ESFJ),Teddy Sanders(ESTP),Teddy Sanders(ESTP),Teddy Sanders(ESTP),",   Bad Neighbors (2014)
1125,"Sarah Highman(ESFJ),Darryl(ESTP),Peter Highman(ESTJ),Ethan Tremblay(ENFP),",   Due Date (2010)
1126,"Holly Reilly-Kennedy(ESFJ),Gerry Kennedy(XXXX),",   P.S. I Love You (2007)
1127,"Collins Tuohy(ESFJ),Sean Tuohy(ESTP),S.J. Tuohy(ENFP),Michael Oher(ISFP),",   The Blind Side
1128,"Jill Pollard(ESFJ),Rita Richards(ENFJ),Abe Lucas(INTP),",   Irrational Man (2015)
1129,"Susan Whitaker(ESFJ),Nick Evans(ENTP),","   Love, Guaranteed"
1130,"Maria(ESFJ),Butch the Bully(ESTP),Cool Cat(ENFJ),",   Cool Cat Saves the Kids (2015)
1131,"Lady Yin(ESFJ),Nezha(ESTP),Li Jing(ISTJ),Aobing(INFJ),",   Nezha (2019)
1132,"Albert(ESFJ),Senator Keeley(ESTJ),Mrs. Keeley(ENFP),Armand Goldman(ISTP),Barbara Keeley(XXXX),Val Goldman(INFP),",   The Birdcage (1996)
1133,"Franklin(ESFJ),Celia Khatchadourian(INFP),Eva Khatchadourian(INTP),",   We Need to Talk About Kevin (2011)
1134,"Elaine Miller(ESFJ),Jeff Bebe(ESTP),Anita Miller(ENTP),Lester Bangs(ENTJ),William Miller(INFJ),",   Almost Famous (2000)
1135,"Simon(ESFJ),Mark(ESTP),Pelle(ENFJ),Ingemar(ENFJ),Dani(ISFP),Christian(ISFP),Maja(ISFP),Connie(ISFJ),Josh(ISTJ),Odd(INTJ),",   Midsommar (2019)
1136,"Amelia(ESFJ),Lavinia(ESTJ),Capt. Crewe(ENFJ),Ermengarde(ISFP),Sara Crewe(INFP),Sara Crewe(INFP),Ram Dass(INFJ),",   A Little Princess (1995)
1137,"Samantha Darko(ESFJ),Ronald(ESTP),Ricky(ESTP),Rose Darko(ESTJ),Jim Cunningham(ENFJ),Jim Cunningham(ENFJ),Elizabeth Darko(ENFJ),Eddie Darko(ENTP),Gretchen Ross(ISFP),Cherita Chen(ISFP),Seth(ISTP),Sean(ISTP),Frank(INFJ),Roberta Sparrow (Grandma Death)(INFJ),Kenneth Monnitoff(INFJ),Donnie Darko(INTP),",   Donnie Darko (2001)
1138,"Elizabeth Egan(ESFJ),Lena Leonard(ISFJ),Lena Leonard(ISFJ),Dean Trumbell(ISTP),Barry Egan(INFP),",   Punch-Drunk Love (2002)
1139,"Kristi(ESFJ),Megan(ISFP),",   127 Hours (2010)
1140,"Victoria 'Tori' Moller(ESFJ),Paulie Oster(ESTP),Mary 'Mouse' Bedford(INFJ),",   Lost And Delirious
1141,"Grace Wheelberg(ESFJ),Jeanie Bueller(ESTJ),Ferris Bueller(ENTP),Katie Bueller(ISFJ),Sloane Peterson(INFP),Cameron Frye(INTP),",   Ferris Bueller's Day Off (1986)
1142,"Sarah Marshall(ESFJ),Chuck(ESTP),Aldous Snow(ENTP),Rachel Jansen(XXXX),Darald(ISFJ),Peter Bretter(INFP),",   Forgetting Sarah Marshall
1143,"Mrs. Claus(ESFJ),Santa Claus(ESTP),Santa Claus(ESTP),Doug Pierce(ENFJ),Jack Booker(ISFJ),Claire Pierce(ISFJ),Belsnickel(ISTP),Bob Booker(INFJ),",   The Christmas Chronicles (Franchise)
1144,"Alice Hunt(ESFJ),Noah Percy(ISFP),Lucius Hunt(INFP),Ivy Elizabeth Walker(INFJ),",   The Village (2004)
1145,"Baltus Van Tassel(ESFJ),Lady Van Tassel(ESTP),Young Masbath(ISFJ),Young Masbath(ISFJ),Young Masbath(ISFJ),The Hessian Horseman(ISTP),Ichabod Crane(INTP),",   Sleepy Hollow (1999)
1146,"Audrey Dunn(ESFJ),David Dunn ""The Overseer""(ISFJ),Joseph Dunn(INFP),Elijah Price ""Mr. Glass""(INTJ),Elijah Price ""Mr. Glass""(INTJ),",   Unbreakable (2000)
1147,"Sherry Parker(ESFJ),Cheng(ESTP),Harry(ISFP),Mr. Han(INFJ),",   The Karate Kid (2010)
1148,"Worm(ESFJ),Didymus(ENTP),Ludo(ISFP),Ambrosius(ISFJ),Hoggle(ISTP),Hoggle(ISTP),Sarah(INFP),Jareth(INTJ),",   Labyrinth (1986)
1149,"Harold Zidler(ESFJ),Henri de Toulouse-Lautrec(ENFP),Christian(INFP),Christian(INFP),",   Moulin Rouge (2001)
1150,"Joan(ESFJ),Nikki(XXXX),Darren(ISFP),Sarah(INFP),",   Horse Girl (2020)
1151,"Yale(ESFJ),Mary Wilkie(ENFP),Tracy(ISFP),Isaac Davis(INTP),",   Manhattan (1979)
1152,"Lesley(ESFJ),Tabitha Dickinson(ESTJ),Riggan Thomson(ENFP),Laura(ENFJ),Mike Shiner(ENTP),Jake(XXXX),",   Birdman or (The Unexpected Virtue of Ignorance) (2014)
1153,"Anna(ESFJ),Mademoiselle(ENTJ),Lucie(ISFP),Lucie(ISFP),Lucie(ISFP),",   Martyrs (2008)
1154,"His Holiness(ESFJ),Jaggu(ENFP),Jaggu(ENFP),Sarfaraz(ISFJ),PK(INTP),",   PK (2014)
1155,"Max Schumacher(ESFJ),Frank Hackett(ESTJ),Laureen Hobbs(ESTJ),Louise Schumacher(ENFJ),Howard Beale(ENTP),Diana Christensen(ENTJ),Arthur Jensen(ENTJ),Great Ahmed Khan(ISTP),Edward Ruddy(ISTJ),",   Network (1976)
1156,"Nina Banks(ESFJ),Franck Eggelhoffer(ENFP),George Banks(ISTJ),",   Father of the Bride (1991)
1157,"Katie(ESFJ),Micah(ESTP),",   Paranormal Activity
1158,"Brenda(ESFJ),The Milf(ENFP),Frank(ENTP),",   Sausage Party
1159,"Marietta Fortune(ESFJ),Bobby Peru(ESTP),Johnnie Farragut(ISFJ),",   Wild at Heart (1990)
1160,"Anna Pearl Jensen-Klump(ESFJ),Ida Mae Jensen(ESFJ),Buddy Love(ESTP),Ernie Klump Sr.(ESTP),Dean Richmond(ESTJ),Cletus Klump(ESTJ),Reggie Warrington(ENTP),Carla Purty(ISFJ),Ernie Klump Jr.(ISTP),Sherman Klump(INFP),Jason(INTP),",   The Nutty Professor (1996)
1161,"Paige(ESFJ),Leo(ISFP),",   The Vow (2012)
1162,"Angela(ESFJ),Lacey Pemberton(ESTP),Lacey Pemberton(ESTP),Margo Roth Spiegelman(ENFP),Quentin Jacobson(INFP),Quentin Jacobson(INFP),Marcus Lincoln(INTP),",   Paper Towns (2015)
1163,"Audrey(ESFJ),Bee Branch(ENFJ),Elgie Branch(ISTJ),Bernadette Fox(INTJ),","   Where’d You Go, Bernadette (2019)"
1164,"Alison Gardner(ESFJ),The Devil(ESTP),Elliot Richards(ENFP),",   Bedazzled (2000)
1165,"Asha Trace(ESFJ),Grey Trace(ISTP),Eron Keen(INTJ),STEM(INTJ),",   Upgrade (2018)
1166,"Mrs. Treves(ESFJ),Carr Gomm(ESTJ),Bytes(ESTJ),Mothershead(ESTJ),Jim(XXXX),Fox(ESTJ),Mrs. Kendal(ENFJ),John Merrick(ISFJ),Nora(ISFJ),Frederick Treves(ISTJ),",   The Elephant Man (1980)
1167,"Belle Blake(ESFJ),Maggie Blake(ESTJ),Fred Blake(ENTJ),Warren Blake(INTP),",   Malavita: The Family
1168,"Arlene McKinney(ESFJ),Eugene Simonet(ISTJ),Trevor McKinney(INFJ),",   Pay It Forward ( 2000 )
1169,"Stefania(ESFJ),Ramona(ISFP),Lello Cava(XXXX),Dadina(XXXX),Jep Gambardella(INFP),Andrea(INFP),Romano(INFJ),Suor Maria ""La Santa""(INFJ),","   The Great Beauty (La grande bellezza, 2013)"
1170,"Nai Nai(ESFJ),Aiko(ISFJ),Little Nai Nai(ISTP),Lu Jian Wang(ISTJ),Haibin Wang(ISTJ),Billi Wang(INFP),",   The Farewell (2019)
1171,"Michael Grates(ESFJ),Vickie Miner(ENFP),Troy Dyer(ENTP),Troy Dyer(ENTP),Sammy Gray(ISFP),",   Reality Bites (1994)
1172,"Divya Narendra(ESFJ),Sean Parker(ESTP),Cameron Winklevoss(ENFJ),Tyler Winklevoss(ENTJ),Eduardo Saverin(ISFJ),Mark Zuckerberg(INTP),",   The Social Network (2010)
